"Urban Area","2021 impact rank (2020 rank)","Hours lost in congestion (rank 2020)","Change from pre-covid","Last Mile speed (mph)"
"Elyria OH","806 (876)","10 (800)",-0.58,22
"Norfolk VA","808 (499)","9 (820)",-0.45,25
"Colorado Springs CO","810 (537)","8 (844)",-0.42,21
"Syracuse NY","811 (886)","8 (845)",-0.1,22
"Egg Harbor Township NJ","812 (894)","10 (801)",1.02,31
"Springfield MA","815 (831)","8 (846)",0.59,32
"Surprise AZ","819 (900)","9 (821)",0.25,26
"Lodi CA","820 (487)","9 (822)",0.04,27
"Albuquerque NM","822 (546)","8 (847)",-0.58,22
"North Chicago IL","823 (817)","10 (802)",-0.23,25
"Melbourne FL","824 (201)","9 (823)",-0.72,24
"St. George UT","825 (914)","9 (824)",-,25
"South Bend IN","826 (823)","8 (848)",-0.27,26
"Monterey CA","828 (417)","10 (803)",-0.23,24
"Wheeling WV","829 (858)","9 (825)",-0.34,26
"Las Cruces NM","831 (931)","8 (849)",-0.26,24
"Des Moines IA","833 (859)","7 (865)",6.43,25
"Chattanooga TN","835 (740)","8 (850)",0.51,26
"Bountiful UT","836 (845)","9 (826)",8.16,27
"Bakersfield CA","838 (208)","7 (866)",-0.42,29
"Grand Rapids MI","840 (248)","7 (867)",-0.62,19
"Dana Point CA","841 (917)","9 (827)",-0.39,25
"College Station TX","842 (873)","8 (851)",0.08,28
"Tuscaloosa AL","843 (839)","7 (868)",-0.42,25
"Bangor ME","845 (882)","8 (852)",0.3,25
"Fitchburg MA","846 (946)","9 (828)",0.24,33
"Louisville KY","847 (598)","7 (869)",-0.73,18
"Portsmouth NH","848 (918)","9 (829)",8.15,24
"Farmington NM","849 (899)","8 (853)",-0.03,28
"Lincoln NE","851 (885)","7 (870)",-0.41,25
"Ocean Township NJ","854 (450)","9 (830)",-,23
"Boise ID","855 (237)","7 (871)",-0.64,18
"Augusta GA","856 (514)","7 (872)",-,23
"Cocoa FL","858 (897)","9 (831)",-0.32,28
"Odessa TX","859 (860)","7 (873)",-0.28,28
"Buffalo NY","860 (717)","6 (886)",-0.71,18
"Woodbridge VA","861 (589)","10 (804)",-0.32,27
"Columbia MD","865 (874)","7 (874)",-0.34,27
"Fort Wayne IN","868 (865)","6 (887)",-0.35,28
"Lafayette IN","869 (618)","7 (875)",0.12,19
"Vallejo CA","871 (401)","6 (888)",-0.59,23
"King of Prussia PA","872 (238)","8 (854)",-0.66,30
"Nashua NH","873 (428)","7 (876)",-0.46,22
"Williamsburg VA","875 (991)","8 (855)",1.76,35
"Winston-Salem NC","876 (842)","6 (889)",-0.36,30
"Raleigh NC","877 (967)","6 (890)",-0.79,-
"Spartanburg SC","878 (492)","6 (891)",-0.49,21
"Elgin IL","881 (863)","6 (892)",-0.54,27
"Hilo HI","886 (637)","6 (893)",-0.78,23
"Knoxville TN","887 (797)","5 (907)",-0.53,30
"Fall River MA","888 (540)","6 (894)",0.23,27
"Daytona Beach FL","889 (368)","6 (895)",5.29,28
"Dover DE","890 (837)","6 (896)",-0.29,23
