Ranking,"Ranking Change",City,Price,M/M%,Y/Y%,Price,M/M%,Y/Y%
73,6,"St. Louis, MO",1030,0.062,0.14400000000000002,1080,0.059000000000000004,0.13699999999999998
73,4,"Corpus Christi, TX",1040,0.051,0.23800000000000002,1350,0.063,0.205
78,6,"Milwaukee, WI",1030,0.03,0.14400000000000002,1160,-0.025,0.036000000000000004
78,4,"Greensboro, NC",1020,0,0.275,1150,-0.009000000000000001,0.278
80,2,"St. Louis, MO",1000,-0.02,0.087,1350,0,0.11599999999999999
80,6,"Augusta, GA",1000,0.053,0.149,1190,0.063,0.19
80,-9,"Tulsa, OK",1010,0.01,0.384,1120,0.009000000000000001,0.258
83,5,"Lincoln, NE",960,-0.059000000000000004,0.091,1170,-0.025,0.158
84,-5,"Winston Salem, NC",960,-0.05,0.10300000000000001,1100,-0.035,0.134
85,-8,"Baton Rouge, LA",950,0.033,0.11800000000000001,1050,-0.037000000000000005,0.061
86,-2,"Cincinnati, OH",950,-0.059000000000000004,0.033,1250,-0.023,0.078
87,-6,"Tallahassee, FL",950,0.055999999999999994,0.17300000000000001,1200,0,0.212
88,4,"Tucson, AZ",950,-0.01,0.131,1320,0.015,0.222
89,4,"Omaha, NE",900,-0.032,0.059000000000000004,1330,-0.05,0.147
89,0,"Albuquerque, NM",910,0.011000000000000001,0.138,1240,-0.046,0.17
91,-1,"Des Moines, IA",860,-0.023,-0.122,970,0.01,-0.057999999999999996
91,-5,"Syracuse, NY",880,0,0.023,1150,-0.057,0.15
91,0,"Laredo, TX",860,0.012,0.132,950,-0.059000000000000004,-0.021
94,-1,"Oklahoma City, OK",850,0,0.063,1000,0,0.075
94,1,"Lexington, KY",860,0.062,0.075,1110,-0.009000000000000001,0.057
96,0,"El Paso, TX",830,-0.057,0.064,1090,-0.027000000000000003,0.16
97,0,"Shreveport, LA",730,-0.013999999999999999,0.07400000000000001,820,-0.012,0.025
98,0,"Lubbock, TX",720,0,0.075,900,-0.022000000000000002,0.084
99,-1,"Wichita, KS",700,0.013999999999999999,0.16699999999999998,860,0.012,0.075
100,0,"Akron, OH",650,0,0.016,880,0.06,
